"key","reproduced","failure_category","scripted","species","type","year"
1,FALSE,"incomplete data",TRUE,"nonhuman","experimental",2017
1,TRUE,NA,TRUE,"nonhuman","experimental",2017
1,TRUE,NA,TRUE,"nonhuman","experimental",2017
2,FALSE,"reanalysis result differs",FALSE,"human","experimental",2012
2,FALSE,"reanalysis result differs",FALSE,"human","experimental",2012
2,FALSE,"data unclear",FALSE,"human","experimental",2012
2,FALSE,"data unclear",FALSE,"human","experimental",2012
3,TRUE,NA,FALSE,"nonhuman","experimental",2013
3,TRUE,NA,FALSE,"nonhuman","experimental",2013
3,TRUE,NA,FALSE,"nonhuman","experimental",2013
4,TRUE,NA,FALSE,"nonhuman","experimental",2014
4,TRUE,NA,FALSE,"nonhuman","experimental",2014
4,TRUE,NA,FALSE,"nonhuman","experimental",2014
4,TRUE,NA,FALSE,"nonhuman","experimental",2014
5,TRUE,NA,TRUE,"human","observational",2015
5,TRUE,NA,TRUE,"human","observational",2015
6,TRUE,NA,FALSE,"nonhuman","observational",1991
6,TRUE,NA,FALSE,"nonhuman","observational",1991
6,TRUE,NA,FALSE,"nonhuman","observational",1991
7,TRUE,NA,FALSE,"human","experimental",2012
7,TRUE,NA,FALSE,"human","experimental",2012
8,TRUE,NA,FALSE,"nonhuman","experimental",2007
9,TRUE,NA,FALSE,"human","experimental",2011
9,TRUE,NA,FALSE,"human","experimental",2011
9,TRUE,NA,FALSE,"human","experimental",2011
10,TRUE,NA,TRUE,"human","experimental",2012
10,TRUE,NA,TRUE,"human","experimental",2012
10,TRUE,NA,TRUE,"human","experimental",2012
10,TRUE,NA,TRUE,"human","experimental",2012
11,TRUE,NA,TRUE,"human","experimental",2015
11,TRUE,NA,TRUE,"human","experimental",2015
11,TRUE,NA,TRUE,"human","experimental",2015
11,TRUE,NA,TRUE,"human","experimental",2015
12,FALSE,NA,FALSE,"human","observational",2016
12,TRUE,NA,FALSE,"human","observational",2016
12,TRUE,NA,FALSE,"human","observational",2016
13,FALSE,"analysis unclear",FALSE,"nonhuman","experimental",2015
13,FALSE,"analysis unclear",FALSE,"nonhuman","experimental",2015
14,TRUE,NA,FALSE,"nonhuman","observational",2013
14,TRUE,NA,FALSE,"nonhuman","observational",2013
15,FALSE,NA,TRUE,"nonhuman","observational",2017
15,FALSE,NA,TRUE,"nonhuman","observational",2017
16,TRUE,NA,FALSE,"nonhuman","experimental",2014
16,TRUE,NA,FALSE,"nonhuman","experimental",2014
16,FALSE,"incomplete data",FALSE,"nonhuman","experimental",2014
17,FALSE,"incomplete data",FALSE,"human","observational",2016
17,FALSE,"incomplete data",FALSE,"human","observational",2016
17,FALSE,"incomplete data",FALSE,"human","observational",2016
17,FALSE,"incomplete data",FALSE,"human","observational",2016
18,FALSE,NA,FALSE,"human","experimental",2013
18,FALSE,NA,FALSE,"human","experimental",2013
19,TRUE,NA,FALSE,"nonhuman","observational",2015
19,TRUE,NA,FALSE,"nonhuman","observational",2015
19,TRUE,NA,FALSE,"nonhuman","observational",2015
19,TRUE,NA,FALSE,"nonhuman","observational",2015
19,TRUE,NA,FALSE,"nonhuman","observational",2015
19,TRUE,NA,FALSE,"nonhuman","observational",2015
20,TRUE,NA,FALSE,"nonhuman","experimental",2017
20,TRUE,NA,FALSE,"nonhuman","experimental",2017
21,FALSE,NA,FALSE,"nonhuman","experimental",2008
21,FALSE,NA,FALSE,"nonhuman","experimental",2008
21,TRUE,NA,FALSE,"nonhuman","experimental",2008
22,FALSE,"reanalysis result differs",FALSE,"human","experimental",2008
22,TRUE,NA,FALSE,"human","experimental",2008
22,TRUE,NA,FALSE,"human","experimental",2008
22,TRUE,NA,FALSE,"human","experimental",2008
23,TRUE,NA,FALSE,"human","experimental",2008
23,TRUE,NA,FALSE,"human","experimental",2008
23,TRUE,NA,FALSE,"human","experimental",2008
24,FALSE,"data unclear",FALSE,"nonhuman","experimental",2000
24,FALSE,"data unclear",FALSE,"nonhuman","experimental",2000
24,FALSE,"data unclear",FALSE,"nonhuman","experimental",2000
25,FALSE,"analysis unclear",TRUE,"human","experimental",2015
25,FALSE,"analysis unclear",TRUE,"human","experimental",2015
25,FALSE,"analysis unclear",TRUE,"human","experimental",2015
26,TRUE,NA,TRUE,"nonhuman","experimental",2010
26,TRUE,NA,TRUE,"nonhuman","experimental",2010
27,TRUE,NA,FALSE,"human","experimental",2010
27,TRUE,NA,FALSE,"human","experimental",2010
28,TRUE,NA,FALSE,"human","experimental",2013
28,TRUE,NA,FALSE,"human","experimental",2013
28,TRUE,NA,FALSE,"human","experimental",2013
29,TRUE,NA,FALSE,"human","experimental",2014
29,TRUE,NA,FALSE,"human","experimental",2014
30,TRUE,NA,FALSE,"human","observational",2016
31,FALSE,"incomplete data",FALSE,"human","observational",2016
31,FALSE,"incomplete data",FALSE,"human","observational",2016
31,FALSE,"reanalysis result differs",FALSE,"human","observational",2016
32,TRUE,NA,FALSE,"nonhuman","observational",2007
32,TRUE,NA,FALSE,"nonhuman","observational",2007
32,TRUE,NA,FALSE,"nonhuman","observational",2007
32,TRUE,NA,FALSE,"nonhuman","observational",2007
32,TRUE,NA,FALSE,"nonhuman","observational",2007
33,TRUE,NA,FALSE,"nonhuman","experimental",2009
33,TRUE,NA,FALSE,"nonhuman","experimental",2009
34,FALSE,"incomplete data",FALSE,"human","experimental",2003
35,TRUE,NA,TRUE,"human","experimental",2018
36,TRUE,NA,TRUE,"nonhuman","experimental",2016
36,TRUE,NA,TRUE,"nonhuman","experimental",2016
37,FALSE,"incomplete data",TRUE,"human","experimental",2011
37,FALSE,"incomplete data",TRUE,"human","experimental",2011
37,FALSE,"incomplete data",TRUE,"human","experimental",2011
38,FALSE,"incomplete data",FALSE,"human","experimental",2017
38,FALSE,"incomplete data",FALSE,"human","experimental",2017
38,FALSE,"incomplete data",FALSE,"human","experimental",2017
38,FALSE,"incomplete data",FALSE,"human","experimental",2017
39,FALSE,"analysis unclear",TRUE,"nonhuman","experimental",2007
40,TRUE,NA,FALSE,"nonhuman","experimental",2018
40,TRUE,NA,FALSE,"nonhuman","experimental",2018
40,TRUE,NA,FALSE,"nonhuman","experimental",2018
40,TRUE,NA,FALSE,"nonhuman","experimental",2018
